BUCKET_TYPE,WEEK_START,WEEK_END,TENANT_COUNT,STORAGE_PB,DUE_OR_OVERDUE,DUE_OVERDUE_PB,FUTURE_DATED,FUTURE_DATED_PB,NO_DATE_YET,NO_DATE_YET_PB
WEEKLY,2026-02-01,2026-02-07,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.00,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.25,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.00,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.07,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.00,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.02,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.14,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.02,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.12,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.12,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.29,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.02,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.03,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.02,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.03,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.03,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.01,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.00,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.04,NULL,NULL,NULL,NULL,NULL,NULL
WEEKLY,2026-02-01,2026-02-07,1,0.03,NULL,NULL,NULL,NULL,NULL,NULL
